date,totalCase,newCase,totalIcu,newIcu,intubated,totalDischarged,newDischarged,totalDeath,newDeath,imported,activeCases,cumulativeTest,newTest,Positivity rate,localMalaysian,localForeign,localAll,Sabah,Selangor,Kuala Lumpur,N Sembilan,Kedah,P Pinang,Labuan,Sarawak,Johor,Perak,Pahang,Melaka,Terengganu,Kelantan,Putrajaya,Perlis,foreignersTested,foreignersCumulative,foreignersTreatment,foreignersDeaths
05 Jul 21,785039,6387,923.0,0.0,433.0,710018,4532,5574,77,0.0,69447,14965606.0,66063.0,9.67,,,6361.0,263.0,2610.0,819.0,523.0,273.0,157.0,71.0,424.0,324.0,249.0,312.0,206.0,17.0,114.0,25.0,0.0,,,,
04 Jul 21,778652,6045,917.0,0.0,443.0,705486,5271,5497,63,0.0,67669,14899543.0,80029.0,7.55,,,6025.0,228.0,2262.0,616.0,531.0,332.0,173.0,75.0,365.0,500.0,384.0,95.0,290.0,54.0,124.0,16.0,0.0,,,,
03 Jul 21,772607,6658,892.0,0.0,443.0,700215,5677,5434,107,0.0,66958,14819514.0,85071.0,7.83,,,6647.0,322.0,3047.0,616.0,699.0,145.0,142.0,108.0,361.0,414.0,101.0,200.0,345.0,51.0,89.0,16.0,2.0,,,,
02 Jul 21,765949,6982,905.0,0.0,443.0,694538,6278,5327,73,0.0,66084,14734443.0,88637.0,7.88,,,6979.0,230.0,2907.0,637.0,606.0,257.0,351.0,131.0,440.0,517.0,182.0,329.0,202.0,44.0,129.0,20.0,0.0,,,,
01 Jul 21,758967,6988,917.0,12.0,445.0,688260,5580,5254,84,0.0,65453,14645806.0,88450.0,7.9,,,6983.0,232.0,2885.0,988.0,692.0,250.0,174.0,129.0,544.0,270.0,149.0,195.0,311.0,50.0,108.0,10.0,1.0,,,,
30 Jun 21,751979,6276,905.0,0.0,452.0,682680,4929,5170,62,0.0,64129,14557356.0,83521.0,7.51,,,6260.0,242.0,2836.0,625.0,644.0,226.0,131.0,132.0,376.0,299.0,137.0,210.0,223.0,20.0,159.0,11.0,5.0,,,,
29 Jun 21,745703,6437,905.0,6.0,455.0,677751,5298,5108,107,0.0,62844,14473835.0,68052.0,9.46,,,6423.0,178.0,2299.0,1361.0,700.0,284.0,115.0,117.0,242.0,271.0,184.0,250.0,252.0,21.0,131.0,32.0,0.0,,,,
28 Jun 21,739266,5218,899.0,13.0,451.0,672453,4744,5001,57,0.0,61812,14405783.0,61025.0,8.55,,,5211.0,258.0,1989.0,469.0,629.0,194.0,88.0,108.0,409.0,243.0,400.0,111.0,183.0,23.0,101.0,8.0,5.0,,,,
27 Jun 21,734048,5586,886.0,20.0,446.0,667709,4777,4944,60,0.0,61395,14344758.0,66969.0,8.34,,,5583.0,190.0,2212.0,628.0,501.0,129.0,138.0,83.0,513.0,312.0,229.0,118.0,380.0,16.0,133.0,4.0,0.0,,,,
26 Jun 21,728462,5803,866.0,0.0,435.0,662932,5193,4884,81,0.0,60646,14277789.0,75753.0,7.66,,,5793.0,189.0,2108.0,628.0,741.0,186.0,160.0,99.0,491.0,329.0,137.0,220.0,355.0,29.0,103.0,24.0,4.0,,,,
25 Jun 21,722659,5812,870.0,1.0,433.0,657739,6775,4803,82,0.0,60117,14202036.0,74148.0,7.84,,,5780.0,156.0,2187.0,771.0,658.0,186.0,270.0,123.0,673.0,196.0,72.0,139.0,223.0,46.0,98.0,14.0,0.0,,,,
24 Jun 21,716847,5841,869.0,0.0,438.0,650964,5411,4721,84,0.0,61162,14127888.0,74542.0,7.84,,,5833.0,203.0,2072.0,552.0,781.0,271.0,108.0,212.0,581.0,346.0,120.0,162.0,247.0,29.0,135.0,17.0,5.0,,,,
23 Jun 21,711006,5244,879.0,4.0,433.0,645553,6372,4637,83,0.0,60816,14053346.0,76636.0,6.84,,,5237.0,129.0,2001.0,531.0,677.0,189.0,159.0,77.0,577.0,282.0,75.0,245.0,180.0,27.0,81.0,13.0,1.0,,,,
22 Jun 21,705762,4743,875.0,0.0,445.0,639181,5557,4554,77,0.0,62027,13976710.0,69064.0,6.87,,,4741.0,193.0,1566.0,635.0,585.0,142.0,195.0,104.0,507.0,239.0,68.0,131.0,167.0,37.0,165.0,7.0,2.0,,,,
21 Jun 21,701019,4611,880.0,0.0,452.0,633624,5439,4477,69,0.0,62918,13907646.0,58384.0,7.9,,,4603.0,166.0,1346.0,310.0,437.0,182.0,84.0,130.0,682.0,314.0,453.0,50.0,205.0,18.0,219.0,15.0,0.0,,,,
20 Jun 21,696408,5293,880.0,0.0,454.0,628185,5941,4408,60,0.0,63815,13849262.0,77651.0,6.82,,,5286.0,163.0,1680.0,379.0,693.0,170.0,114.0,156.0,661.0,627.0,205.0,77.0,183.0,12.0,167.0,4.0,2.0,,,,
19 Jun 21,691115,5911,886.0,0.0,441.0,622244,6918,4348,72,0.0,64523,13771611.0,83713.0,7.06,,,5910.0,201.0,2111.0,483.0,770.0,204.0,167.0,185.0,569.0,498.0,245.0,56.0,134.0,62.0,223.0,3.0,0.0,,,,
18 Jun 21,685204,6440,894.0,0.0,451.0,615326,6861,4276,74,0.0,65602,13687898.0,82969.0,7.76,,,6435.0,199.0,2095.0,816.0,870.0,159.0,122.0,152.0,536.0,592.0,357.0,79.0,223.0,32.0,200.0,6.0,2.0,,,,
17 Jun 21,678764,5738,909.0,0.0,441.0,608465,7530,4202,60,0.0,66097,13604929.0,82369.0,6.97,,,5735.0,248.0,1858.0,641.0,1086.0,197.0,97.0,97.0,559.0,449.0,30.0,54.0,184.0,77.0,154.0,7.0,0.0,,,,
16 Jun 21,673026,5150,924.0,2.0,453.0,600935,7240,4142,73,0.0,67949,13522560.0,84866.0,6.07,,,5147.0,184.0,1914.0,480.0,607.0,228.0,99.0,101.0,570.0,392.0,66.0,57.0,152.0,56.0,230.0,6.0,8.0,,,,
15 Jun 21,667876,5419,922.0,1.0,450.0,593695,6831,4069,101,6.0,70112,13437694.0,77065.0,7.03,,,5413.0,230.0,1996.0,650.0,396.0,252.0,124.0,138.0,718.0,366.0,68.0,32.0,155.0,43.0,245.0,5.0,1.0,,,,
14 Jun 21,662457,4949,921.0,4.0,459.0,586864,6588,3968,60,6.0,71625,13360629.0,70044.0,7.07,,,4943.0,273.0,1523.0,503.0,323.0,199.0,214.0,113.0,744.0,430.0,136.0,61.0,119.0,86.0,214.0,10.0,1.0,,,,
13 Jun 21,657508,5304,917.0,3.0,452.0,580276,8163,3908,64,0.0,73324,13290585.0,80130.0,6.62,,,5304.0,335.0,1973.0,462.0,331.0,301.0,256.0,158.0,544.0,363.0,121.0,78.0,145.0,46.0,179.0,7.0,5.0,,,,
12 Jun 21,652204,5793,914.0,2.0,459.0,572113,8334,3844,76,6.0,76247,13210455.0,90238.0,6.42,,,5787.0,378.0,1582.0,559.0,618.0,171.0,198.0,250.0,569.0,504.0,218.0,121.0,178.0,82.0,337.0,23.0,5.0,,,,
11 Jun 21,646411,6849,912.0,1.0,458.0,563779,7749,3768,84,4.0,78864,13120217.0,99974.0,6.85,,,6845.0,309.0,2558.0,884.0,685.0,161.0,205.0,176.0,699.0,426.0,161.0,89.0,170.0,66.0,248.0,10.0,2.0,,,,
