date,state,total,phase2,mysj,call,web,children,children_solo,adolescents,elderly,comorb,oku
2021-06-24,Malaysia,16191488,5219793,14910368,10668,1270452,0,0,776980,2787690,3938517,298917
2021-06-25,Malaysia,16321185,5253580,15031571,10779,1278835,0,0,797921,2802744,3964444,301849
2021-06-26,Malaysia,16431724,5282795,15136062,10892,1284770,0,0,815984,2815665,3986607,304571
2021-06-27,Malaysia,16515196,5304420,15231554,10808,1272834,0,0,830643,2824735,4003420,306740
2021-06-28,Malaysia,16630764,5333905,15335726,10933,1284105,0,0,842985,2835474,4027560,309623
2021-06-29,Malaysia,16742895,5363387,15437319,11068,1294508,0,0,855990,2848431,4049918,312553
2021-06-30,Malaysia,16846760,5390919,15529782,11238,1305740,0,0,869447,2860940,4070843,315213
2021-07-01,Malaysia,16946192,5417533,15618955,11372,1315865,0,0,883075,2872868,4091177,317580
2021-07-02,Malaysia,17046402,5443203,15712580,11421,1322401,0,0,895217,2884342,4110719,319980
2021-07-03,Malaysia,17139248,5466092,15801003,11468,1326777,0,0,907356,2894331,4128168,322350
2021-07-04,Malaysia,17244667,5493357,15901066,11389,1332212,0,0,921829,2905809,4149063,325126
2021-07-05,Malaysia,17351578,5520897,15999096,11468,1341014,0,0,933232,2917571,4170188,327808
2021-07-06,Malaysia,17452973,5546992,16091907,11621,1349445,0,0,942847,2928543,4190330,330492
2021-07-07,Malaysia,17555253,5573229,16185613,11779,1357861,0,0,952101,2939658,4210528,333224
2021-07-08,Malaysia,17649903,5597428,16272080,11939,1365884,0,0,960686,2949716,4229090,335718
2021-07-09,Malaysia,17770806,5626556,16392264,11888,1366654,0,0,971874,2960838,4250568,340094
2021-07-10,Malaysia,17891932,5655027,16516278,11854,1363800,0,0,986070,2971374,4271136,345047
2021-07-11,Malaysia,18015930,5683564,16642308,11697,1361925,0,0,1000380,2981714,4291365,350610
2021-07-12,Malaysia,18160607,5716352,16784537,11561,1364509,0,0,1013691,2993273,4315015,356596
2021-07-13,Malaysia,18292715,5744726,16911884,11528,1369303,0,0,1027186,3003550,4335757,361163
2021-07-14,Malaysia,18427037,5774003,17045774,11549,1369714,0,0,1039213,3014147,4357273,365881
2021-07-15,Malaysia,18583368,5806451,17200871,11565,1370932,0,0,1052129,3025275,4381254,371230
2021-07-16,Malaysia,18734246,5837827,17351104,11538,1371604,0,0,1063727,3035975,4404097,376694
2021-07-17,Malaysia,18885523,5867851,17503230,11519,1370774,0,0,1076198,3045702,4425086,383044
2021-07-18,Malaysia,19023202,5895504,17640505,11418,1371279,0,0,1088707,3054611,4444729,388570
2021-07-19,Malaysia,19158945,5921813,17777333,11319,1370293,0,0,1098489,3063768,4463291,393614
2021-07-20,Malaysia,19261123,5943402,17884177,11256,1365690,0,0,1106821,3071312,4478661,397611
2021-07-21,Malaysia,19395583,5969687,18019311,11271,1365001,0,0,1119991,3080218,4497566,402268
2021-07-22,Malaysia,19419042,5974873,18020056,11391,1387595,0,0,1123819,3082239,4501533,402777
2021-07-23,Malaysia,19575949,6003295,18177778,11437,1386734,0,0,1149589,3091449,4522474,407378
2021-07-24,Malaysia,19721086,6031372,18324379,11457,1385250,0,0,1168127,3100657,4542600,412741
2021-07-25,Malaysia,19919192,6064907,18528476,11359,1379357,0,0,1229707,3109916,4566279,420506
2021-07-26,Malaysia,20134971,6099552,18747001,11247,1376723,0,0,1283356,3119814,4591050,427570
2021-07-27,Malaysia,20319894,6130386,18935924,11226,1372744,0,0,1321618,3128874,4612928,434087
2021-07-28,Malaysia,20484128,6158861,19104641,11248,1368239,0,0,1348169,3137350,4633015,440055
2021-07-29,Malaysia,20623713,6181328,19248361,11291,1364061,0,0,1378257,3144175,4648794,444831
2021-07-30,Malaysia,20745955,6202004,19377222,11262,1357471,0,0,1403631,3150078,4662871,449949
2021-07-31,Malaysia,20855218,6220383,19493707,11247,1350264,0,0,1422891,3155666,4674910,454639
2021-08-01,Malaysia,20946912,6237382,19590071,11198,1345643,0,0,1438938,3160969,4685893,459256
2021-08-02,Malaysia,21050822,6255056,19697753,11139,1341930,0,0,1452228,3166577,4697399,463661
2021-08-03,Malaysia,21144113,6271070,19794198,11178,1338737,0,0,1465222,3171581,4708233,467359
2021-08-04,Malaysia,21231018,6285487,19884273,11235,1335510,0,0,1476141,3176323,4717929,470489
2021-08-05,Malaysia,21304575,6298008,19961246,11264,1332065,0,0,1485523,3180234,4726612,473152
2021-08-06,Malaysia,21375825,6309764,20035875,11296,1328654,0,0,1494842,3183921,4734592,475693
2021-08-07,Malaysia,21438447,6320028,20101802,11317,1325328,0,0,1503556,3187062,4741639,477851
2021-08-08,Malaysia,21525695,6335537,20193771,11263,1320661,0,0,1516012,3191377,4752420,481213
2021-08-09,Malaysia,21631839,6354235,20304291,11318,1316230,0,0,1527625,3196765,4765651,484798
2021-08-10,Malaysia,21727450,6371369,20404266,11253,1311931,0,0,1539238,3201706,4777747,487939
2021-08-11,Malaysia,21822791,6388893,20503335,11280,1308176,0,0,1549467,3207215,4790061,491146
2021-08-12,Malaysia,21910565,6405281,20594217,11338,1305010,0,0,1559146,3212402,4801120,494301
2021-08-13,Malaysia,21976962,6417273,20659316,11413,1306233,0,0,1570037,3215979,4809710,496508
2021-08-14,Malaysia,22073933,6433764,20762290,11468,1300175,0,0,1593876,3220612,4820965,500031
2021-08-15,Malaysia,22182758,6451309,20875759,11418,1295581,0,0,1628157,3225373,4833008,503725
2021-08-16,Malaysia,22285967,6467312,20982436,11467,1292064,0,0,1661697,3230030,4844108,506825
2021-08-17,Malaysia,22381508,6482419,21082089,11519,1287900,0,0,1693726,3234430,4854374,509983
2021-08-18,Malaysia,22481409,6496878,21185784,11557,1284068,0,0,1729351,3238706,4863985,513233
2021-08-19,Malaysia,22585122,6511471,21294237,11596,1279289,0,0,1768371,3242710,4873767,516602
2021-08-20,Malaysia,22687544,6525715,21400422,11637,1275485,0,0,1810007,3246549,4883347,519763
2021-08-21,Malaysia,22782622,6540118,21500069,11664,1270889,0,0,1846673,3250333,4892420,523729
2021-08-22,Malaysia,22871156,6553714,21593296,11615,1266245,0,0,1880766,3254131,4900885,527315
2021-08-23,Malaysia,22958829,6567460,21684887,11642,1262300,0,0,1911409,3258110,4909676,530779
2021-08-24,Malaysia,23042731,6580081,21773344,11670,1257717,0,0,1940076,3261858,4917596,534064
2021-08-25,Malaysia,23123394,6592597,21858396,11672,1253326,0,0,1968086,3265675,4925427,537222
2021-08-26,Malaysia,23205391,6605158,21945340,11675,1248376,0,0,1997122,3269306,4933173,540676
2021-08-27,Malaysia,23273683,6615347,22017912,11703,1244068,0,0,2018817,3272672,4939319,543328
2021-08-28,Malaysia,23332931,6624220,22080836,11710,1240385,0,0,2036712,3275592,4944576,545662
2021-08-29,Malaysia,23391837,6633235,22143607,11631,1236599,0,0,2055183,3278480,4949879,548161
2021-08-30,Malaysia,23449265,6641847,22203991,11664,1233610,0,0,2070702,3281432,4955099,550294
2021-08-31,Malaysia,23494211,6648539,22251987,11616,1230608,0,0,2082134,3283802,4958815,552067
2021-09-01,Malaysia,23545490,6656310,22306286,11618,1227586,0,0,2094039,3286715,4963384,553906
2021-09-02,Malaysia,23597094,6664072,22361052,11637,1224405,0,0,2105341,3289858,4967687,555799
2021-09-03,Malaysia,23645245,6670630,22412208,11634,1221403,0,0,2116545,3292512,4971138,557483
2021-09-04,Malaysia,23689895,6676806,22459702,11626,1218567,0,0,2126545,3294949,4974143,559234
2021-09-05,Malaysia,23739749,6683340,22512764,11591,1215394,0,0,2141085,3297652,4977027,561185
2021-09-06,Malaysia,23787324,6689807,22563479,11593,1212252,0,0,2152541,3300432,4980161,562867
2021-09-07,Malaysia,23831603,6695632,22610989,11562,1209052,0,0,2162357,3302913,4982670,564637
2021-09-08,Malaysia,23873848,6701260,22655765,11547,1206536,0,0,2173192,3305323,4985241,566124
2021-09-09,Malaysia,23916184,6706966,22700677,11523,1203984,0,0,2183049,3307761,4987726,567708
2021-09-10,Malaysia,23951169,6711369,22737974,11509,1201686,0,0,2191638,3309767,4989549,568937
2021-09-11,Malaysia,23987318,6715894,22776791,11494,1199033,0,0,2201138,3311758,4991124,570369
2021-09-12,Malaysia,24019529,6719958,22811123,11452,1196954,0,0,2210068,3313653,4992460,571658
2021-09-13,Malaysia,24049801,6723931,22843135,11439,1195227,0,0,2216980,3315567,4994111,572656
2021-09-14,Malaysia,24079418,6727753,22874576,11424,1193418,0,0,2224123,3317366,4995860,573607
2021-09-15,Malaysia,24110163,6731586,22907119,11408,1191636,0,0,2232870,3319028,4997616,574589
2021-09-16,Malaysia,24143374,6734868,22942135,11386,1189853,0,0,2248298,3320442,4998769,575564
2021-09-17,Malaysia,24178099,6738328,22978652,11378,1188069,0,0,2265656,3321953,5000253,576521
2021-09-18,Malaysia,24209891,6741409,23012084,11371,1186436,0,0,2281340,3323272,5001286,577491
2021-09-19,Malaysia,24244108,6744470,23047928,11351,1184829,0,0,2300178,3324552,5002312,578477
2021-09-20,Malaysia,24285699,6748308,23091581,11334,1182784,0,0,2325061,3326052,5004022,579611
2021-09-21,Malaysia,24325340,6751819,23133044,11332,1180964,0,0,2349775,3327370,5005654,580649
2021-09-22,Malaysia,24372336,6755999,23182032,11323,1178981,0,0,2380375,3328816,5007611,581881
2021-09-23,Malaysia,24416879,6759800,23228610,11310,1176959,0,0,2409143,3330166,5009384,583050
2021-09-24,Malaysia,24457503,6763103,23270923,11302,1175278,0,0,2435501,3331420,5010817,584086
2021-09-25,Malaysia,24498383,6766120,23314046,11287,1173050,0,0,2463180,3332609,5011894,585070
2021-09-26,Malaysia,24540088,6769385,23357718,11262,1171108,0,0,2491684,3333881,5013054,586096
2021-09-27,Malaysia,24586463,6773155,23406014,11257,1169192,0,0,2524251,3335245,5014798,587299
2021-09-28,Malaysia,24631606,6776783,23453096,11245,1167265,0,0,2555910,3336561,5016381,588443
2021-09-29,Malaysia,24673736,6780179,23496895,11250,1165591,0,0,2585254,3337768,5017863,589597
2021-09-30,Malaysia,24711215,6783563,23536241,11239,1163735,0,0,2609928,3339011,5019404,590651
2021-10-01,Malaysia,24740173,6786358,23566731,11224,1162218,0,0,2627954,3340043,5020580,591483
2021-10-02,Malaysia,24768569,6788868,23596456,11208,1160905,0,0,2646130,3341021,5021451,592278
2021-10-03,Malaysia,24794699,6791295,23623866,11197,1159636,0,0,2662364,3341987,5022213,593049
2021-10-04,Malaysia,24824738,6794262,23654965,11184,1158589,0,0,2681428,3343069,5023548,593925
2021-10-05,Malaysia,24851384,6796961,23682880,11184,1157320,0,0,2697790,3344117,5024737,594742
2021-10-06,Malaysia,24877367,6799458,23710215,11184,1155968,0,0,2712727,3345130,5025784,595494
2021-10-07,Malaysia,24901861,6801762,23736000,11183,1154678,0,0,2726989,3346122,5026690,596224
2021-10-08,Malaysia,24923366,6803852,23758470,11179,1153717,0,0,2738201,3347059,5027390,596911
2021-10-09,Malaysia,24942611,6805643,23778642,11169,1152800,0,0,2748320,3347954,5027911,597431
2021-10-10,Malaysia,24963595,6807746,23800500,11159,1151936,0,0,2759585,3348963,5028523,598069
2021-10-11,Malaysia,24987184,6810272,23825078,11142,1150964,0,0,2771465,3350144,5029462,598763
2021-10-12,Malaysia,25008882,6812594,23847742,11129,1150011,0,0,2782511,3351240,5030362,599407
2021-10-13,Malaysia,25028219,6814691,23867979,11128,1149112,0,0,2791924,3352267,5031144,600012
2021-10-14,Malaysia,25047669,6816765,23888321,11125,1148223,0,0,2800565,3353318,5031861,600555
2021-10-15,Malaysia,25065284,6818606,23906814,11116,1147354,0,0,2808327,3354265,5032478,601092
2021-10-16,Malaysia,25079220,6820116,23921547,11100,1146573,0,0,2814172,3355115,5032753,601552
2021-10-17,Malaysia,25094264,6821896,23937400,11088,1145776,0,0,2821117,3356038,5033260,602037
2021-10-18,Malaysia,25110426,6823803,23954372,11086,1144968,0,0,2828187,3357003,5033962,602540
2021-10-19,Malaysia,25121843,6825067,23966331,11083,1144429,0,0,2833139,3357727,5034334,602898
2021-10-20,Malaysia,25135734,6826787,23980784,11078,1143872,0,0,2839451,3358627,5034997,603306
2021-10-21,Malaysia,25149298,6828438,23994861,11077,1143360,0,0,2844947,3359492,5035596,603718
2021-10-22,Malaysia,25161659,6829926,24007857,11071,1142731,0,0,2849834,3360306,5036097,604105
2021-10-23,Malaysia,25172551,6831196,24019372,11062,1142117,0,0,2853889,3361073,5036288,604481
2021-10-24,Malaysia,25181972,6832239,24029273,11057,1141642,0,0,2857657,3361716,5036508,604770
2021-10-25,Malaysia,25194076,6833704,24041978,11046,1141052,0,0,2862284,3362497,5037080,605111
2021-10-26,Malaysia,25204546,6835280,24052851,11050,1140645,0,0,2866349,3363172,5038020,605426
2021-10-27,Malaysia,25214682,6836680,24063509,11048,1140125,0,0,2869649,3363824,5038840,605702
2021-10-28,Malaysia,25224852,6838138,24074197,11044,1139611,0,0,2873072,3364556,5039714,605918
2021-10-29,Malaysia,25254949,6840191,24104673,11042,1139234,0,0,2898172,3365124,5041052,606377
2021-10-30,Malaysia,25299759,6842813,24150230,11027,1138502,0,0,2938259,3365773,5042754,606971
2021-11-01,Malaysia,25318099,6844751,24169068,11014,1138017,0,0,2950538,3366566,5043877,607386
2021-11-02,Malaysia,25330333,6846333,24182102,10999,1137232,0,0,2957444,3367267,5044734,607748
2021-11-03,Malaysia,25330333,6846333,24182102,10999,1137232,0,0,2957444,3367267,5044734,607748
2021-11-04,Malaysia,25340355,6847590,24192735,10987,1136633,0,0,2962701,3367873,5045339,608006
2021-11-05,Malaysia,25340355,6847590,24192735,10987,1136633,0,0,2962701,3367873,5045339,608006
2021-11-06,Malaysia,25349265,6848670,24202221,10969,1136075,0,0,2967293,3368397,5045821,608249
2021-11-07,Malaysia,25358582,6849882,24212106,10949,1135527,0,0,2972445,3368979,5046491,608483
2021-11-08,Malaysia,25369013,6851243,24223174,10926,1134913,0,0,2977732,3369628,5047202,608770
2021-11-09,Malaysia,25379070,6852596,24233896,10915,1134259,0,0,2982530,3370275,5047910,609021
2021-11-10,Malaysia,25388205,6853865,24243698,10906,1133601,0,0,2986593,3370852,5048570,609302
2021-11-11,Malaysia,25396587,6855050,24252701,10901,1132985,0,0,2990106,3371431,5049203,609535
2021-11-12,Malaysia,25404605,6856135,24261416,10889,1132300,0,0,2993672,3372004,5049732,609745
2021-11-13,Malaysia,25411368,6857165,24268778,10874,1131716,0,0,2996497,3372587,5050161,609959
2021-11-14,Malaysia,25417539,6858063,24275496,10865,1131178,0,0,2999260,3373028,5050610,610138
2021-11-15,Malaysia,25424294,6859086,24282777,10859,1130658,0,0,3002008,3373592,5051121,610320
2021-11-16,Malaysia,25431454,6860167,24290458,10852,1130144,0,0,3004848,3374123,5051702,610542
2021-11-17,Malaysia,25438629,6861241,24298312,10832,1129485,0,0,3007704,3374684,5052240,610753
2021-11-18,Malaysia,25445375,6862306,24305685,10812,1128878,0,0,3010256,3375257,5052769,610955
2021-11-19,Malaysia,25451673,6863212,24312569,10804,1128300,0,0,3012526,3375747,5053184,611133
2021-11-20,Malaysia,25456736,6863958,24318114,10801,1127821,0,0,3014349,3376159,5053506,611291
2021-11-21,Malaysia,25461807,6864698,24323641,10794,1127372,0,0,3016318,3376549,5053806,611449
2021-11-22,Malaysia,25467842,6865626,24330198,10780,1126864,0,0,3018261,3377057,5054259,611625
2021-11-23,Malaysia,25473596,6866481,24336500,10770,1126326,0,0,3019973,3377525,5054644,611798
2021-11-24,Malaysia,25479434,6867321,24342853,10763,1125818,0,0,3021564,3378017,5055037,611940
