date,state,total,phase2,mysj,call,web,children,children_solo,adolescents,elderly,comorb,oku
2021-06-24,Johor,2024149,657731,1880609,1167,142373,0,0,94096,373226,477510,39807
2021-06-24,Kedah,938187,340264,850376,855,86956,0,0,39636,181729,264154,20150
2021-06-24,Kelantan,621203,223260,527284,426,93493,0,0,26305,119608,173570,12921
2021-06-24,Melaka,510641,179964,484164,436,26041,0,0,25638,98045,138618,13547
2021-06-24,Negeri Sembilan,633026,229995,591847,592,40587,0,0,32396,125029,179280,13902
2021-06-24,Pahang,750725,264067,622899,589,127237,0,0,29918,144832,198403,16521
2021-06-24,Perak,1148106,452462,1041486,1408,105212,0,0,44004,275548,336877,22914
2021-06-24,Perlis,127490,51752,113668,151,13671,0,0,6037,26077,41532,3384
2021-06-24,Pulau Pinang,1016794,330079,976455,719,39620,0,0,38055,194183,234845,19883
2021-06-24,Sabah,851764,257703,778966,269,72529,0,0,30519,121805,201247,11933
2021-06-24,Sarawak,1592461,522265,1286143,413,305905,0,0,77341,279982,387358,20768
2021-06-24,Selangor,3909273,1097859,3791251,2192,115830,0,0,228578,534567,843425,65519
2021-06-24,Terengganu,476220,153161,420246,282,55692,0,0,23323,74777,122416,9688
2021-06-24,W.P. Kuala Lumpur,1456439,421934,1417107,1122,38210,0,0,70680,227679,307348,25454
2021-06-24,W.P. Labuan,56170,16861,50621,20,5529,0,0,3183,5939,13775,1153
2021-06-24,W.P. Putrajaya,78840,20436,77246,27,1567,0,0,7271,4664,18159,1373
2021-06-25,Johor,2041602,661902,1893979,1168,146455,0,0,97271,375286,480400,40231
2021-06-25,Kedah,944999,342347,856936,861,87202,0,0,40669,182734,265776,20299
2021-06-25,Kelantan,625226,224486,530896,429,93901,0,0,26867,120210,174522,13025
2021-06-25,Melaka,515204,181324,488507,440,26257,0,0,26268,98692,139683,13687
2021-06-25,Negeri Sembilan,637968,231516,596597,597,40774,0,0,33241,125738,180513,14025
2021-06-25,Pahang,757465,265918,628495,604,128366,0,0,30750,145826,199746,16661
2021-06-25,Perak,1157036,455334,1048929,1417,106690,0,0,45257,277151,339055,23100
2021-06-25,Perlis,128805,52260,114814,152,13839,0,0,6205,26303,41943,3437
2021-06-25,Pulau Pinang,1023700,332086,983193,735,39772,0,0,39043,195134,236382,20052
2021-06-25,Sabah,861073,259925,787348,275,73450,0,0,31359,122702,203020,12061
2021-06-25,Sarawak,1606641,525395,1301322,423,304896,0,0,79900,281063,389918,21028
2021-06-25,Selangor,3937708,1104729,3819733,2224,115751,0,0,234114,537204,848916,66176
2021-06-25,Terengganu,480057,154369,423423,286,56348,0,0,23955,75383,123254,9779
2021-06-25,W.P. Kuala Lumpur,1467761,424504,1428603,1121,38037,0,0,72329,228684,309218,25744
2021-06-25,W.P. Labuan,56488,16912,50927,20,5541,0,0,3234,5953,13817,1157
2021-06-25,W.P. Putrajaya,79452,20573,77869,27,1556,0,0,7459,4681,18281,1387
2021-06-26,Johor,2057988,666114,1906558,1175,150255,0,0,100300,377213,483493,40674
2021-06-26,Kedah,951155,344296,862829,870,87456,0,0,41587,183681,267200,20480
2021-06-26,Kelantan,629102,225685,534281,431,94390,0,0,27386,120844,175381,13152
2021-06-26,Melaka,519021,182407,492257,449,26315,0,0,26905,99159,140516,13802
2021-06-26,Negeri Sembilan,642349,232861,600930,601,40818,0,0,34015,126298,181638,14154
2021-06-26,Pahang,762169,267126,632976,610,128583,0,0,31433,146428,200660,16765
2021-06-26,Perak,1164519,457719,1055626,1436,107457,0,0,46307,278498,340776,23268
2021-06-26,Perlis,129784,52636,115709,158,13917,0,0,6346,26462,42242,3478
2021-06-26,Pulau Pinang,1030857,334234,990121,739,39997,0,0,40031,196237,237968,20238
2021-06-26,Sabah,868575,261693,794144,277,74154,0,0,32015,123468,204361,12140
2021-06-26,Sarawak,1617059,527601,1312831,433,303795,0,0,81767,281864,391624,21234
2021-06-26,Selangor,3960634,1110447,3842460,2258,115916,0,0,238682,539314,853498,66699
2021-06-26,Terengganu,484184,155663,427325,285,56574,0,0,24439,75994,124241,9908
2021-06-26,W.P. Kuala Lumpur,1477813,426733,1438630,1123,38060,0,0,73907,229560,310839,26020
