date,daily_partial,daily_full,daily,daily_partial_child,daily_full_child,daily_booster,cumul_partial,cumul_full,cumul,cumul_partial_child,cumul_full_child,cumul_booster,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,pending
2021-02-24,60,0,60,0,0,0,60,0,60,0,0,0,60,0,0,0,0,0,0,0
2021-02-25,1146,0,1146,0,0,0,1206,0,1206,0,0,0,1146,0,0,0,0,0,0,0
2021-02-26,4115,1,4116,0,0,0,5321,1,5322,0,0,0,4115,1,0,0,0,0,0,0
2021-02-27,6723,1,6724,0,0,0,12044,2,12046,0,0,0,6723,1,0,0,0,0,0,0
2021-02-28,6699,3,6702,0,0,0,18743,5,18748,0,0,0,6699,3,0,0,0,0,0,0
2021-03-01,15372,4,15376,0,0,0,34115,9,34124,0,0,0,15372,4,0,0,0,0,0,0
2021-03-02,21665,3,21668,0,0,0,55780,12,55792,0,0,0,21665,3,0,0,0,0,0,0
2021-03-03,22688,5,22693,0,0,0,78468,17,78485,0,0,0,22688,5,0,0,0,0,0,0
2021-03-04,19546,13,19559,0,0,0,98014,30,98044,0,0,0,19546,13,0,0,0,0,0,0
2021-03-05,14328,4,14332,0,0,0,112342,34,112376,0,0,0,14328,4,0,0,0,0,0,0
2021-03-06,15777,1,15778,0,0,0,128119,35,128154,0,0,0,15777,1,0,0,0,0,0,0
2021-03-07,12536,2,12538,0,0,0,140655,37,140692,0,0,0,12536,2,0,0,0,0,0,0
2021-03-08,27116,12,27128,0,0,0,167771,49,167820,0,0,0,27116,12,0,0,0,0,0,0
2021-03-09,29974,10,29984,0,0,0,197745,59,197804,0,0,0,29974,10,0,0,0,0,0,0
2021-03-10,28719,2,28721,0,0,0,226464,61,226525,0,0,0,28719,2,0,0,0,0,0,0
2021-03-11,26475,0,26475,0,0,0,252939,61,253000,0,0,0,26475,0,0,0,0,0,0,0
2021-03-12,26042,1,26043,0,0,0,278981,62,279043,0,0,0,26042,1,0,0,0,0,0,0
2021-03-13,16837,0,16837,0,0,0,295818,62,295880,0,0,0,16837,0,0,0,0,0,0,0
2021-03-14,10074,0,10074,0,0,0,305892,62,305954,0,0,0,10074,0,0,0,0,0,0,0
2021-03-15,20284,1,20285,0,0,0,326176,63,326239,0,0,0,20284,1,0,0,0,0,0,0
2021-03-16,25454,4,25458,0,0,0,351630,67,351697,0,0,0,25454,4,0,0,0,0,0,0
2021-03-17,20787,60,20847,0,0,0,372417,127,372544,0,0,0,20787,60,0,0,0,0,0,0
2021-03-18,17305,794,18099,0,0,0,389722,921,390643,0,0,0,17293,794,12,0,0,0,0,0
2021-03-19,10723,3800,14523,0,0,0,400445,4721,405166,0,0,0,10723,3800,0,0,0,0,0,0
2021-03-20,7710,6062,13772,0,0,0,408155,10783,418938,0,0,0,7709,6062,0,0,0,0,0,1
2021-03-21,9703,5792,15495,0,0,0,417858,16575,434433,0,0,0,9703,5791,0,0,0,0,0,1
2021-03-22,9716,14537,24253,0,0,0,427574,31112,458686,0,0,0,9715,14537,0,0,0,0,0,1
2021-03-23,8303,20837,29140,0,0,0,435877,51949,487826,0,0,0,8302,20837,1,0,0,0,0,0
2021-03-24,6294,22767,29061,0,0,0,442171,74716,516887,0,0,0,6293,22767,0,0,0,0,0,1
2021-03-25,6434,19320,25754,0,0,0,448605,94036,542641,0,0,0,6353,19320,81,0,0,0,0,0
2021-03-26,3940,12758,16698,0,0,0,452545,106794,559339,0,0,0,3770,12758,170,0,0,0,0,0
2021-03-27,1699,14334,16033,0,0,0,454244,121128,575372,0,0,0,1235,14327,463,4,0,0,0,4
2021-03-28,3667,12857,16524,0,0,0,457911,133985,591896,0,0,0,3398,12856,269,1,0,0,0,0
2021-03-29,7755,27281,35036,0,0,0,465666,161266,626932,0,0,0,6204,27280,1551,1,0,0,0,0
2021-03-30,11457,29323,40780,0,0,0,477123,190589,667712,0,0,0,9305,29323,2152,0,0,0,0,0
2021-03-31,9819,27441,37260,0,0,0,486942,218030,704972,0,0,0,6571,27441,3246,0,0,0,0,2
2021-04-01,15792,26507,42299,0,0,0,502734,244537,747271,0,0,0,11180,26506,4607,1,0,0,0,5
2021-04-02,7583,22857,30440,0,0,0,510317,267394,777711,0,0,0,3940,22855,3643,2,0,0,0,0
2021-04-03,2673,14581,17254,0,0,0,512990,281975,794965,0,0,0,1535,14580,1138,0,0,0,0,1
2021-04-04,6001,8935,14936,0,0,0,518991,290910,809901,0,0,0,3199,8935,2802,0,0,0,0,0
2021-04-05,9194,19376,28570,0,0,0,528185,310286,838471,0,0,0,4242,19373,4951,3,0,0,0,1
2021-04-06,10976,21633,32609,0,0,0,539161,331919,871080,0,0,0,6548,21629,4428,4,0,0,0,0
2021-04-07,12665,18226,30891,0,0,0,551826,350145,901971,0,0,0,6433,18223,6227,3,0,0,0,5
2021-04-08,12046,14752,26798,0,0,0,563872,364897,928769,0,0,0,5852,14729,6193,23,0,0,0,1
2021-04-09,7194,14327,21521,0,0,0,571066,379224,950290,0,0,0,4344,14312,2849,7,0,0,0,9
2021-04-10,5571,10006,15577,0,0,0,576637,389230,965867,0,0,0,3758,10005,1813,0,0,0,0,1
2021-04-11,12469,10681,23150,0,0,0,589106,399911,989017,0,0,0,10214,10681,2255,0,0,0,0,0
2021-04-12,25303,13918,39221,0,0,0,614409,413829,1028238,0,0,0,22522,13917,2781,0,0,0,0,1
2021-04-13,16089,7683,23772,0,0,0,630498,421512,1052010,0,0,0,12113,7682,3972,1,0,0,0,4
2021-04-14,20925,7692,28617,0,0,0,651423,429204,1080627,0,0,0,17510,7690,3414,2,0,0,0,1
2021-04-15,18084,9150,27234,0,0,0,669507,438354,1107861,0,0,0,13913,9071,4171,79,0,0,0,0
2021-04-16,15609,3919,19528,0,0,0,685116,442273,1127389,0,0,0,12540,3629,3067,290,0,0,0,2
2021-04-17,8560,1071,9631,0,0,0,693676,443344,1137020,0,0,0,7015,627,1545,444,0,0,0,0
2021-04-18,6091,3748,9839,0,0,0,699767,447092,1146859,0,0,0,5346,3530,744,218,0,0,0,1
2021-04-19,24642,8302,32944,0,0,0,724409,455394,1179803,0,0,0,22957,6934,1683,1368,0,0,0,2
2021-04-20,22062,11168,33230,0,0,0,746471,466562,1213033,0,0,0,18602,9134,3460,2034,0,0,0,0
2021-04-21,15807,11718,27525,0,0,0,762278,478280,1240558,0,0,0,14714,7913,1092,3802,0,0,0,4
2021-04-22,14359,15054,29413,0,0,0,776637,493334,1269971,0,0,0,13294,10718,1065,4329,0,0,0,7
2021-04-23,12202,6671,18873,0,0,0,788839,500005,1288844,0,0,0,10896,4105,1305,2564,0,0,0,3
2021-04-24,7947,3476,11423,0,0,0,796786,503481,1300267,0,0,0,7613,1613,331,1436,0,0,0,430
2021-04-25,9092,5684,14776,0,0,0,805878,509165,1315043,0,0,0,9016,3202,76,2482,0,0,0,0
2021-04-26,21307,8915,30222,0,0,0,827185,518080,1345265,0,0,0,20460,4573,844,4341,0,0,0,4
2021-04-27,22785,11828,34613,0,0,0,849970,529908,1379878,0,0,0,21907,6783,878,5043,0,0,0,2
2021-04-28,26411,13178,39589,0,0,0,876381,543086,1419467,0,0,0,24992,6221,1419,6955,0,0,0,2
2021-04-29,6447,6036,12483,0,0,0,882828,549122,1431950,0,0,0,6190,3277,256,2759,0,0,0,1
2021-04-30,17701,8865,26566,0,0,0,900529,557987,1458516,0,0,0,17076,5774,625,3089,0,0,0,2
2021-05-01,2910,2468,5378,0,0,0,903439,560455,1463894,0,0,0,2352,2447,558,20,0,0,0,1
2021-05-02,7611,8100,15711,0,0,0,911050,568555,1479605,0,0,0,6591,7330,1020,765,0,0,0,5
2021-05-03,24467,26664,51131,0,0,0,935517,595219,1530736,0,0,0,22847,22060,903,4603,717,0,0,1
2021-05-04,30076,19670,49746,0,0,0,965593,614889,1580482,0,0,0,27599,14673,2477,4995,0,0,0,2
2021-05-05,32019,22864,54883,0,0,0,997612,637753,1635365,0,0,0,22136,19692,5300,3171,4575,0,0,9
2021-05-06,36989,18737,55726,0,0,0,1034601,656490,1691091,0,0,0,26230,13773,7188,4963,3567,0,0,5
2021-05-07,32240,15445,47685,0,0,0,1066841,671935,1738776,0,0,0,17353,11237,11308,4207,3577,0,0,3
2021-05-08,18615,8399,27014,0,0,0,1085456,680334,1765790,0,0,0,12277,7084,2702,1314,3636,0,0,1
2021-05-09,25804,6584,32388,0,0,0,1111260,686918,1798178,0,0,0,17255,5816,4958,765,3591,0,0,3
2021-05-10,36630,24785,61415,0,0,0,1147890,711703,1859593,0,0,0,26042,21817,7038,2967,3547,0,0,4
2021-05-11,30457,18403,48860,0,0,0,1178347,730106,1908453,0,0,0,21712,16326,5114,2076,3631,0,0,1
2021-05-12,10304,7812,18116,0,0,0,1188651,737918,1926569,0,0,0,5384,7554,1474,258,3446,0,0,0
2021-05-13,111,7,118,0,0,0,1188762,737925,1926687,0,0,0,0,3,111,4,0,0,0,0
2021-05-14,61,7,68,0,0,0,1188823,737932,1926755,0,0,0,0,0,61,7,0,0,0,0
2021-05-15,10303,592,10895,0,0,0,1199126,738524,1937650,0,0,0,438,589,151,0,9714,1,0,2
2021-05-16,9979,327,10306,0,0,0,1209105,738851,1947956,0,0,0,11,199,7,128,9961,0,0,0
2021-05-17,32433,28108,60541,0,0,0,1241538,766959,2008497,0,0,0,19869,26768,2077,1337,10487,0,0,3
2021-05-18,45669,32290,77959,0,0,0,1287207,799249,2086456,0,0,0,30516,29892,4641,2396,10512,0,0,2
2021-05-19,50064,34019,84083,0,0,0,1337271,833268,2170539,0,0,0,30236,32214,9284,1805,10542,0,0,2
2021-05-20,59122,21907,81029,0,0,0,1396393,855175,2251568,0,0,0,32826,20736,15214,1168,11064,0,0,21
2021-05-21,42167,18771,60938,0,0,0,1438560,873946,2312506,0,0,0,19077,18114,12053,653,11034,0,0,7
2021-05-22,43182,3178,46360,0,0,0,1481742,877124,2358866,0,0,0,14063,2407,19689,769,9430,0,0,2
2021-05-23,37937,8367,46304,0,0,0,1519679,885491,2405170,0,0,0,12215,7106,15162,1261,10555,0,0,5
2021-05-24,69570,26022,95592,0,0,0,1589249,911513,2500762,0,0,0,25265,24688,30937,1333,13360,0,0,9
2021-05-25,69565,30690,100255,0,0,0,1658814,942203,2601017,0,0,0,23862,27645,32423,3044,13273,0,0,8
2021-05-26,20294,1899,22193,0,0,0,1679108,944102,2623210,0,0,0,2629,1630,3940,268,13724,1,0,1
2021-05-27,58703,49466,108169,0,0,0,1737811,993568,2731379,0,0,0,19007,41549,26337,7911,13343,0,0,22
2021-05-28,46792,27427,74219,0,0,0,1784603,1020995,2805598,0,0,0,14735,18439,18612,8985,13440,0,0,8
2021-05-29,50993,14976,65969,0,0,0,1835596,1035971,2871567,0,0,0,17694,12254,19749,2722,13542,0,0,8
2021-05-30,38338,24331,62669,0,0,0,1873934,1060302,2934236,0,0,0,9701,17087,15311,7242,13319,0,0,9
2021-05-31,67560,28580,96140,0,0,0,1941494,1088882,3030376,0,0,0,24442,24379,29516,4196,13579,0,0,28
2021-06-01,75415,24426,99841,0,0,0,2016909,1113308,3130217,0,0,0,30708,21216,30668,3208,14029,2,0,10
2021-06-02,96973,9874,106847,0,0,0,2113882,1123182,3237064,0,0,0,36215,7996,46234,1877,14514,1,0,10
2021-06-03,111339,7834,119173,0,0,0,2225221,1131016,3356237,0,0,0,38852,3239,57687,4595,14794,0,0,6
2021-06-04,86368,4954,91322,3,0,0,2311589,1135970,3447559,3,0,0,27556,2723,43001,2230,15803,1,0,8
2021-06-05,72156,1392,73548,0,0,0,2383745,1137362,3521107,3,0,0,34165,1328,22716,63,15274,0,0,2
2021-06-06,81051,1599,82650,1,0,0,2464796,1138961,3603757,4,0,0,38604,1508,28409,91,14033,0,0,5
2021-06-07,60738,5085,65823,4,0,0,2525534,1144046,3669580,8,0,0,11266,3565,31216,1520,18248,0,0,8
2021-06-08,108398,46235,154633,2,0,0,2633932,1190281,3824213,10,0,0,51169,41228,36589,5005,20633,2,0,7
2021-06-09,116238,40675,156913,0,0,0,2750170,1230956,3981126,10,0,0,61354,31538,38955,9136,15925,1,0,4
2021-06-10,113699,47373,161072,2,0,0,2863869,1278329,4142198,12,0,0,52082,32793,39970,14576,21645,1,0,5
2021-06-11,96277,30240,126517,1,0,0,2960146,1308569,4268715,13,0,0,30955,18656,40901,11583,24407,1,0,14
2021-06-12,103118,34092,137210,4,0,0,3063264,1342661,4405925,17,0,0,40116,14487,42409,19602,20582,2,0,12
2021-06-13,104745,26936,131681,1,1,0,3168009,1369597,4537606,18,1,0,43096,12507,39926,14429,21722,0,0,1
2021-06-14,147227,55829,203056,2,0,0,3315236,1425426,4740662,20,1,0,54788,25230,67399,30596,25029,1,0,13
2021-06-15,166571,56101,222672,3,0,0,3481807,1481527,4963334,23,1,0,59742,24076,82334,32024,24417,0,0,79
2021-06-16,205538,8237,213775,15,1,0,3687345,1489764,5177109,38,2,0,70749,3395,110922,4840,23866,2,0,1
2021-06-17,184401,44326,228727,2,0,0,3871746,1534090,5405836,40,2,0,59649,18723,99009,25595,25731,0,0,20
2021-06-18,152676,32683,185359,3,0,0,4024422,1566773,5591195,43,2,0,40782,14552,86636,18131,25256,0,0,2
2021-06-19,135087,36236,171323,7,0,0,4159509,1603009,5762518,50,2,0,51773,16451,63461,19782,19853,0,0,3
2021-06-20,121561,24218,145779,3,1,0,4281070,1627227,5908297,53,3,0,37406,8934,65153,15284,18998,0,0,4
2021-06-21,190269,54660,244929,9,0,0,4471339,1681887,6153226,62,3,0,47604,25237,116876,29420,25782,3,0,7
2021-06-22,198511,60926,259437,26,0,0,4669850,1742813,6412663,88,3,0,48402,30681,126548,30236,23559,7,0,4
2021-06-23,184576,79974,264550,18,0,0,4854426,1822787,6677213,106,3,0,38679,35195,122928,44772,22963,1,0,12
2021-06-24,182310,94571,276881,12,0,0,5036736,1917358,6954094,118,3,0,32789,37679,126470,56880,23021,7,0,35
2021-06-25,153800,68146,221946,4,2,0,5190536,1985504,7176040,122,5,0,28718,26405,103143,41733,21935,4,0,8
2021-06-26,141161,56277,197438,7,0,0,5331697,2041781,7373478,129,5,0,34052,34338,88583,21939,18322,0,0,204
2021-06-27,111518,66068,177586,6,0,0,5443215,2107849,7551064,135,5,0,22545,38351,72519,27715,16454,1,0,1
2021-06-28,166111,43518,209629,11,3,0,5609326,2151367,7760693,146,8,0,41659,11564,103590,31935,20821,4,0,56
2021-06-29,158289,85321,243610,9,1,0,5767615,2236688,8004303,155,9,0,31115,49250,106193,36068,20976,3,0,5
2021-06-30,173612,96668,270280,2,0,0,5941227,2333356,8274583,157,9,0,27904,58399,124390,38257,21272,7,0,51
2021-07-01,183388,86441,269829,8,1,0,6124615,2419797,8544412,165,10,0,27326,47548,134660,38881,21397,11,0,6
2021-07-02,169999,70548,240547,1,1,0,6294614,2490345,8784959,166,11,0,28216,30050,119798,40483,21983,15,0,2
2021-07-03,144632,78992,223624,5,3,0,6439246,2569337,9008583,171,14,0,25931,38738,100096,40246,18604,7,0,2
2021-07-04,134914,80440,215354,1,1,0,6574160,2649777,9223937,172,15,0,27203,42581,88786,37853,18925,6,0,0
2021-07-05,206358,120497,326855,4,1,0,6780518,2770274,9550792,176,16,0,34624,53945,150095,65849,21638,699,0,5
2021-07-06,216799,138185,354984,5,2,0,6997317,2908459,9905776,181,18,0,38298,57363,156716,80801,21783,18,0,5
2021-07-07,218582,175586,394168,17,7,0,7215899,3084045,10299944,198,25,0,39791,63003,157246,108219,21544,4362,0,3
2021-07-08,229437,159402,388839,15,1,0,7445336,3243447,10688783,213,26,0,40507,58725,167305,97325,21599,3344,0,34
2021-07-09,220283,129164,349447,17,0,0,7665619,3372611,11038230,230,26,0,43441,40762,154930,84966,21909,3436,0,3
2021-07-10,219715,115684,335399,13,4,0,7885334,3488295,11373629,243,30,0,51556,49460,149701,62714,18454,3500,0,14
2021-07-11,194269,102435,296704,6,0,0,8079603,3590730,11670333,249,30,0,50698,37445,125204,61564,18367,3426,0,0
2021-07-12,271292,162028,433320,41,3,0,8350895,3752758,12103653,290,33,0,74345,45917,175848,112696,21094,3415,0,5
2021-07-13,267513,170363,437876,48,17,0,8618408,3923121,12541529,338,50,0,70275,46454,178591,120409,18599,3499,0,49
2021-07-14,294257,162417,456674,31,10,0,8912665,4085538,12998203,369,60,0,81945,39876,191273,119208,21027,3331,0,14
2021-07-15,317249,160148,477397,26,4,0,9229914,4245686,13475600,395,64,0,101552,36221,192378,123896,23319,31,0,0
