date,state,daily_partial,daily_full,daily,daily_partial_child,daily_full_child,cumul_partial,cumul_full,cumul,cumul_partial_child,cumul_full_child,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,pending
2021-02-24,Johor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,Kedah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,Kelantan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,Melaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,Negeri Sembilan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,Pahang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,Perak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,Perlis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,Pulau Pinang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,Sabah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,Sarawak,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
2021-02-24,Selangor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,Terengganu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,W.P. Kuala Lumpur,41,0,41,0,0,41,0,41,0,0,41,0,0,0,0,0,0,0
2021-02-24,W.P. Labuan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,W.P. Putrajaya,18,0,18,0,0,18,0,18,0,0,18,0,0,0,0,0,0,0
2021-02-25,Johor,79,0,79,0,0,79,0,79,0,0,79,0,0,0,0,0,0,0
2021-02-25,Kedah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-25,Kelantan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-25,Melaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-25,Negeri Sembilan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-25,Pahang,122,0,122,0,0,122,0,122,0,0,122,0,0,0,0,0,0,0
2021-02-25,Perak,297,0,297,0,0,297,0,297,0,0,297,0,0,0,0,0,0,0
2021-02-25,Perlis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-25,Pulau Pinang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-25,Sabah,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
2021-02-25,Sarawak,2,0,2,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0
2021-02-25,Selangor,43,0,43,0,0,43,0,43,0,0,43,0,0,0,0,0,0,0
2021-02-25,Terengganu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-25,W.P. Kuala Lumpur,545,0,545,0,0,586,0,586,0,0,545,0,0,0,0,0,0,0
2021-02-25,W.P. Labuan,2,0,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0
2021-02-25,W.P. Putrajaya,55,0,55,0,0,73,0,73,0,0,55,0,0,0,0,0,0,0
2021-02-26,Johor,0,0,0,0,0,79,0,79,0,0,0,0,0,0,0,0,0,0
2021-02-26,Kedah,6,0,6,0,0,6,0,6,0,0,6,0,0,0,0,0,0,0
2021-02-26,Kelantan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-26,Melaka,259,0,259,0,0,259,0,259,0,0,259,0,0,0,0,0,0,0
2021-02-26,Negeri Sembilan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-26,Pahang,773,0,773,0,0,895,0,895,0,0,773,0,0,0,0,0,0,0
2021-02-26,Perak,579,0,579,0,0,876,0,876,0,0,579,0,0,0,0,0,0,0
2021-02-26,Perlis,165,0,165,0,0,165,0,165,0,0,165,0,0,0,0,0,0,0
2021-02-26,Pulau Pinang,322,0,322,0,0,322,0,322,0,0,322,0,0,0,0,0,0,0
2021-02-26,Sabah,12,0,12,0,0,13,0,13,0,0,12,0,0,0,0,0,0,0
2021-02-26,Sarawak,1359,1,1360,0,0,1362,1,1363,0,0,1359,1,0,0,0,0,0,0
2021-02-26,Selangor,285,0,285,0,0,328,0,328,0,0,285,0,0,0,0,0,0,0
2021-02-26,Terengganu,11,0,11,0,0,11,0,11,0,0,11,0,0,0,0,0,0,0
2021-02-26,W.P. Kuala Lumpur,325,0,325,0,0,911,0,911,0,0,325,0,0,0,0,0,0,0
2021-02-26,W.P. Labuan,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
2021-02-26,W.P. Putrajaya,19,0,19,0,0,92,0,92,0,0,19,0,0,0,0,0,0,0
2021-02-27,Johor,2,0,2,0,0,81,0,81,0,0,2,0,0,0,0,0,0,0
2021-02-27,Kedah,38,0,38,0,0,44,0,44,0,0,38,0,0,0,0,0,0,0
2021-02-27,Kelantan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-27,Melaka,16,0,16,0,0,275,0,275,0,0,16,0,0,0,0,0,0,0
2021-02-27,Negeri Sembilan,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
2021-02-27,Pahang,1766,0,1766,0,0,2661,0,2661,0,0,1766,0,0,0,0,0,0,0
2021-02-27,Perak,244,0,244,0,0,1120,0,1120,0,0,244,0,0,0,0,0,0,0
2021-02-27,Perlis,3,0,3,0,0,168,0,168,0,0,3,0,0,0,0,0,0,0
2021-02-27,Pulau Pinang,6,0,6,0,0,328,0,328,0,0,6,0,0,0,0,0,0,0
2021-02-27,Sabah,563,0,563,0,0,576,0,576,0,0,563,0,0,0,0,0,0,0
2021-02-27,Sarawak,3639,0,3639,0,0,5001,1,5002,0,0,3639,0,0,0,0,0,0,0
2021-02-27,Selangor,79,0,79,0,0,407,0,407,0,0,79,0,0,0,0,0,0,0
2021-02-27,Terengganu,1,0,1,0,0,12,0,12,0,0,1,0,0,0,0,0,0,0
